name,team,gradClass,position,height,weight,highSchool,homeTown_city,homeTown_state,isInternational,weight_group,height_group
Juan Carlos Alvarez,American University,Sophomore,Goalkeeper,6'3,,,McAllen,(TX) - Texas,False,,6'0-6'6
Dominic Dominguez,American University,Senior,Goalkeeper,5'11,,Atlantic Coast,Jacksonville,(FL) - Florida,False,,5'8-5'11
Jonah Fogel,American University,Junior,Defender,5'10,,Shattuck-St. Mary's,Brooklyn,(NY) - New York,False,,5'8-5'11
Rex-Emmanuel Cobbina,American University,Freshman,Defender,5'10,,York Mills Collegiate Institute,Toronto,Ontario,True,,5'8-5'11
Cooper Nunn,American University,Graduate Student,Defender,6'0,,Gleeson College,Adelaide,Australia,True,,6'0-6'6
Nicholas Shirley,American University,Senior,Defender,6'0,,Northwest,Germantown,(MD) - Maryland,False,,6'0-6'6
Taku Takahashi,American University,Senior,Defender,5'9,,Sendai,Miyagi,Japan,True,,5'8-5'11
Miles Lam,American University,Senior,Midfielder,5'10,,Mount St. Joseph's,Linthicum,(MD) - Maryland,False,,5'8-5'11
Tim Schliemann,American University,Junior,Midfielder,5'10,,,Berlin,Germany,True,,5'8-5'11
Sam Hershey,American University,Senior,Forward,6'3,,McCaskey,Lancaster,(PA) - Pennsylvania,False,,6'0-6'6
Dilane Zouantcha,American University,Senior,Forward,5'8,,Northwest,Yaounde,Cameroon,True,,5'8-5'11
Zemi Rodriguez,American University,Senior,Midfielder,5'9,,St. Benedict's Prep,Goshen,(NY) - New York,False,,5'8-5'11
Moad Ezzahir,American University,Freshman,Midfielder,5'11,,John R. Lewis,Springfield,,False,,5'8-5'11
Ian Webb-Johnson,American University,Sophomore,Defender,6'3,,TECCA Connections Academy,Westwood,(MA) - Massachusetts,False,,6'0-6'6
Kobe Keomany,American University,Freshman,Midfielder,5'9,,McDonogh School,White Marsh,(MD) - Maryland,False,,5'8-5'11
Sebastian Garces,American University,Junior,Midfielder,5'9,,Freedom,Bethlehem,(PA) - Pennsylvania,False,,5'8-5'11
Reyes Parra,American University,Sophomore,Midfielder,5'7,,Shattuck-St. Mary's,Round Lake,(IL) - Illinois,False,,5'7-5'3
Leo Palomo,American University,Senior,Midfielder,6'0,,Northwest,Boyds,(MD) - Maryland,False,,6'0-6'6
Colin O'Brien,American University,Freshman,Forward,6'1,,St. Peter's Prep,Hoboken,(NJ) - New Jersey,False,,6'0-6'6
Mustapha Sowe,American University,Senior,Forward,5'10,,Harrison,East Newark,(NJ) - New Jersey,False,,5'8-5'11
Jared Weber,American University,Sophomore,Midfielder,5'9,,Justice,Falls Church,,False,,5'8-5'11
Toshi Davis,American University,Junior,Midfielder,5'8,,Towson,Baltimore,(MD) - Maryland,False,,5'8-5'11
Ethan Boyle,American University,Graduate Student,Midfielder,6'2,,Denver East,Denver,(CO) - Colorado,False,,6'0-6'6
Owen Edsell,American University,Sophomore,Defender,6'1,,Montclair,Montclair,(NJ) - New Jersey,False,,6'0-6'6
Chris Sullivan,American University,Freshman,Midfielder,5'6,,Southampton,Southampton,(NY) - New York,False,,5'7-5'3
Oliver Snowdon,American University,Freshman,Midfielder,5'8,,Shattuck-St. Mary's,Lorton,,False,,5'8-5'11
